listing_id,end_time,settle_time,listing_type,listing_state,horse_id,horse_name,horse_gender,hex_color,generation,bloodline,complete_rating,breeding_slots,winning_bid_amount,winning_bidder,total_bids,user_id
543b15a9-14f4-40b7-ac5d-ecfbb5ce4773,2025-07-01T03:59:16+00:00,2025-07-01T03:59:16+00:00,STUD_AUCTION,ACTIVE,56536b52-4704-45e7-b4a5-5210df29f5b9,Ulysses The Great,MALE,EF5350,2,SZABO,3.0,0,0.0,,0,f6b2a12d-b2de-4e7a-8a00-5213e3158b88
cb01148f-08e2-478a-97d6-c6f85637f095,2025-07-01T03:59:06+00:00,2025-07-01T03:59:06+00:00,STUD_AUCTION,ACTIVE,4e58f11e-787f-462b-93e7-6b43eab68029,Playful Stucco,MALE,EF5350,2,NAKAMOTO,3.0,1,0.0,,0,f6b2a12d-b2de-4e7a-8a00-5213e3158b88
6aa2464c-769e-4181-96b6-2f32ec3c1a97,2025-07-01T03:56:13+00:00,2025-07-01T03:56:13+00:00,STUD_AUCTION,ACTIVE,d7599884-680f-4177-ac06-4950a62babee,Muddy Puddles,MALE,4FC3F7,2,SZABO,3.5,1,0.0,,0,5497758c-257b-4469-bb51-452d483388da
95a3302e-602c-42be-bae7-a49cd10eb7b9,2025-07-01T03:56:03+00:00,2025-07-01T03:56:03+00:00,STUD_AUCTION,ACTIVE,549b41dc-c7d4-4ada-a0df-f3c35bc81c82,Larenzo Lion,MALE,29B6F6,2,SZABO,4.0,0,0.0,,0,5497758c-257b-4469-bb51-452d483388da
6c5e2aa7-ed1d-4395-b809-2ace2d6aad3f,2025-07-01T03:52:12+00:00,2025-07-01T03:52:12+00:00,STUD_AUCTION,ACTIVE,88a614c7-ba1b-425e-a671-a1e34618c19d,Get off my lawn,MALE,8E24AA,4,BUTERIN,3.5,0,0.0,,0,078cf9e3-f5cd-4adb-9cbd-9636495b7e74
78ce2d08-fc94-4480-ba3e-86cfa1cfbefb,2025-07-01T03:50:42+00:00,2025-07-01T03:50:42+00:00,STUD_AUCTION,ACTIVE,e83a4f09-9340-44ef-953c-2dfc8f971f4b,Overdrive,MALE,8E24AA,0,FINNEY,4.0,4,0.0,,0,0c610479-f199-4ec5-9649-ad340c356e72
767c53a5-5400-4f02-98f6-862e450fb3d1,2025-07-01T03:42:46+00:00,2025-07-01T03:42:46+00:00,STUD_AUCTION,ACTIVE,4d4c533c-b207-418f-af17-33ab63b9753c,CT860,MALE,7B1FA2,4,FINNEY,3.5,0,0.0,,0,40a9ba26-c23a-4b4c-bebe-2d23e2517ae5
9b621c27-de9b-4fc3-bb46-7866f2b6ebf3,2025-07-01T03:39:14+00:00,2025-07-01T03:39:14+00:00,STUD_AUCTION,ACTIVE,1376bdfc-0df7-4fee-99e4-b59807fe517d,Tank,MALE,E91E63,4,NAKAMOTO,4.0,7,0.0,,0,0368a6e0-a23c-4527-bd1c-38c79d51fcb4
9b3aafb3-3fd2-489a-8ee5-583b223eac9b,2025-07-01T03:28:06+00:00,2025-07-01T03:28:06+00:00,STUD_AUCTION,ACTIVE,cb675feb-dd7d-4455-9d0c-36bb3e00e7d0,Blue Jay Way,MALE,00BCD4,0,SZABO,3.0,4,200.0,Dear Prudence,1,16a420e9-65d1-418e-85b6-fbe5f05c3058
ea274632-79c1-4643-b8d2-525428ef7ec5,2025-07-01T03:16:35+00:00,2025-07-01T03:16:35+00:00,STUD_AUCTION,ACTIVE,c9f644bf-b35d-423f-88c4-17112e00bb19,Smiling Stiletto,MALE,FBC02D,1,BUTERIN,2.5,2,0.0,,0,d6551c2d-525b-4d71-a90b-202753dfe4c5
52472154-c7f1-42b8-86bc-8b312cbe956d,2025-07-01T03:16:13+00:00,2025-07-01T03:16:13+00:00,STUD_AUCTION,ACTIVE,9442a9bb-1367-468f-831f-3d5336e38de2,Content Calendar,MALE,FFF176,4,BUTERIN,3.5,0,0.0,,0,d6551c2d-525b-4d71-a90b-202753dfe4c5
8b778524-17f0-4d7e-bf26-2698e38aa7c0,2025-07-01T03:15:48+00:00,2025-07-01T03:15:48+00:00,STUD_AUCTION,ACTIVE,15cacedc-edbd-479a-bbc7-c2503ce19581,Amicable Pointillism,MALE,CDDC39,2,BUTERIN,3.0,0,0.0,,0,d6551c2d-525b-4d71-a90b-202753dfe4c5
27431c97-0748-4720-86c5-4469b37d3aaa,2025-07-01T03:15:22+00:00,2025-07-01T03:15:22+00:00,STUD_AUCTION,ACTIVE,01b2dd44-0128-423d-81c3-64d6fcc79932,Confident Duck,MALE,F44336,2,NAKAMOTO,3.0,0,0.0,,0,d6551c2d-525b-4d71-a90b-202753dfe4c5
096c8f5f-60cb-4605-88a8-dc467e2d74be,2025-07-01T03:10:26+00:00,2025-07-01T03:10:26+00:00,STUD_AUCTION,ACTIVE,d4da5e0f-d121-4eb8-b24b-3bf90c21e171,Hot Pursuit,MALE,039BE5,2,BUTERIN,3.5,2,0.0,,0,c772b4fb-b93b-45cb-b59d-925e284f20b8
d2f35e02-bb49-4c9c-811d-e2a8d357dda3,2025-07-01T03:03:33+00:00,2025-07-01T03:03:33+00:00,STUD_AUCTION,ACTIVE,196df806-b01b-430f-91a7-ae74e446452e,Pee Wee Herman,MALE,EC407A,3,FINNEY,3.5,0,15000.0,Katy Perry,1,aa5d3744-587d-4741-a155-2e8dc0251419
33142688-000e-4acf-a15e-d8566726b076,2025-07-01T02:55:37+00:00,2025-07-01T02:55:37+00:00,STUD_AUCTION,ACTIVE,b548722b-7ea2-4aed-90dc-af29bb6c08da,Charlie Sheen,MALE,BA68C8,3,SZABO,3.5,0,0.0,,0,aa5d3744-587d-4741-a155-2e8dc0251419
d9b2a37f-5e72-41bd-9383-2efc6652d1e0,2025-07-01T02:51:42+00:00,2025-07-01T02:51:42+00:00,STUD_AUCTION,ACTIVE,a3151873-b29b-426f-a635-30191bc83dc0,Content Snapper,MALE,9C27B0,1,FINNEY,3.0,1,0.0,,0,d3e74fe9-c351-4b15-b11d-f3c80610eb18
37af1198-d07f-4d13-a599-51e2038440eb,2025-07-01T02:31:26+00:00,2025-07-01T02:31:26+00:00,STUD_AUCTION,ACTIVE,4f52e043-14d9-4819-b60c-281e97a168c1,Vibrant Exoplanet,MALE,C6FF00,3,BUTERIN,3.0,1,0.0,,0,cd996e9d-8a3e-4039-8342-9c59c69aeba4
